id,home_team,away_team
1621ag8,navy,notredame
1622qd6,northalabama,mercer
1625rls,jacksonvillestate,utep
162828r,newmexicostate,umass
16282a0,sandiegostate,ohio
16282b5,albany,fordham
1628te6,southcarolinastate,jacksonstate
1628tfe,vanderbilt,hawaii
1629jdu,usc,sanjosestate
162ay3p,louisianatech,fiu
166b2v4,ucla,coastalcarolina
166mw7c,charlestonsouthern,northgreenville-sheet2-row07-col04
166mw8w,moreheadstate,westvirginiastate-sheet2-row09-col09
166mwaf,indianastate,easternillinois
166ohg3,georgiastate,rhodeisland
166ohhd,nicholls,sacramentostate
166ohjg,stonybrook,delaware
166ohlf,kennesawstate,tusculum-sheet2-row16-col10
166ohmq,westernmichigan,stfrancis
166ov1y,wakeforest,elon
166ov2x,ucf,kentstate
166ov47,campbell,williammary
166ov50,furman,tennesseetech
166pd46,connecticut,ncstate
166pd51,youngstownstate,valparaiso
166pzdt,utah,florida
166pzeu,minnesota,nebraska
166pzg1,tulsa,uapb
166pzh7,uab,northcarolinaat
166pzic,lamar,idaho
166pzjo,abilenechristian,northerncolorado
166pzlo,lindenwood,wisconsinstevenspoint-sheet3-row30-col06
166pzmw,missouri,southdakota
166pznw,southdakotastate,westernoregon-sheet2-row08-col09
166q24z,texasamcommerce,ucdavis
166q6id,weberstate,centralwashington-sheet2-row08-col02
166svcz,arizonastate,southernutah
166u6o5,samford,shorter-sheet2-row07-col05
167jpha,easternmichigan,howard
167kgks,michiganstate,centralmichigan
167kgm7,miami,miamioh
167l7hn,louisville,georgiatech
167lxjl,kansas,missouristate
167pwk2,hawaii,stanford
1684oqg,michigan,ecu
1684ork,virginia,tennessee
1684osx,tcu,colorado
1684oub,oklahoma,arkansasstate
1684ovh,iowa,utahstate
1684owx,kentucky,ballstate
1684ozl,purdue,fresnostate
1684p18,smu,louisianatech
1684p2r,bostoncollege,northernillinois
1684p3t,ohio,liu
1684p4u,duquesne,edinboro-sheet2-row13-col05
1684p61,lehigh,villanova
1685f72,georgetown,marist
16865qj,airforce,robertmorris
16865s6,arkansas,westerncarolina
16865t8,delawarestate,bowiestate-sheet2-row02-col02
16865uu,illinoisstate,dayton
16865w8,stonehill,newhampshire
1686wlo,vmi,davidson
1687nwk,olemiss,mercer
1687ny1,jacksonvillestate,easttennesseestate
1687nzt,iowastate,northerniowa
1687o1i,temple,akron
1687o2r,norfolkstate,virginiastate-sheet2-row02-col10
1687o3y,holycross,merrimack
1687o59,montana,butler
1687o5x,stthomasmn,blackhillsstate-sheet2-row14-col02
16896g6,oregon,portlandstate
16896h2,grambling,hampton
1689xu6,indiana,ohiostate
1689xvd,washington,boisestate
1689xwn,texas,rice
1689xxi,notredame,tennesseestate
1689xyu,wisconsin,buffalo
1689y0d,auburn,umass
1689y1m,maryland,towson
1689y2u,wku,usf
1689y4f,pittsburgh,wofford
1689y5n,cincinnati,easternkentucky
1689y78,appalachianstate,gardnerwebb
1689y8d,easternwashington,northdakotastate
168aoyc,mississippistate,southeasternlouisiana
168aozh,northtexas,california
168ap0u,syracuse,colgate
168ap2s,unlv,bryant
168ap4i,nccu,winstonsalemstate-sheet2-row02-col12
168ap5j,centralstate-sheet2-row15-col04,mvsu
168ap6x,northdakota,drake
168dp3a,georgia,utmartin
168dp4f,charlotte,southcarolinastate
168dp5l,fau,monmouth
168dp6n,georgiasouthern,citadel
168dp82,jamesmadison,bucknell
168dp9s,marshall,albany
168dpb6,richmond,morganstate
168dpcj,ccsu,americaninternational-sheet2-row11-col01
168dpdp,sacredheart,lafayette
168dpf4,fordham,wagner
168dpgd,alabamastate,southern
168dph6,calpoly,sandiego
168dpi9,stetson,stthomasfl-sheet4-row11-col05
168egbr,usc,nevada
168egcz,fiu,maine
168f6nt,kansasstate,southeastmissouri
168f6p8,texasam,newmexico
168f6qk,ulm,army
168f6rt,vanderbilt,alabamaam
168f6t4,coloradostate,washingtonstate
168f6us,baylor,texasstate
168f6vx,houston,utsa
168f6x1,oklahomastate,centralarkansas
168f6y3,memphis,bethunecookman
168f6zr,southernmiss,alcornstate
168f71b,troy,stephenfaustin
168f725,southernillinois,austinpeay
168f73g,northalabama,chattanooga
168f751,houstonbaptist,arkansasbaptist-sheet4-row10-col01
168f76d,murraystate,presbyterian
168fx6x,alabama,middletennessee
168fx8i,pennstate,westvirginia
168fx9s,northcarolina,southcarolina
168fxb4,illinois,toledo
168fxcn,wyoming,texastech
168gmns,tulane,southalabama
168gmpf,virginiatech,olddominion
168gmqs,texassouthern,prairieviewam
168gmsj,mcneese,tarletonstate
168gmtl,montanastate,utahtech
168hcr6,louisiana,northwesternstate
168i0rs,newmexicostate,westernillinois
168i0ss,utep,incarnateword
168jbmr,arizona,northernarizona
168jn05,byu,samhoustonstate
168jxt0,ucla,coastalcarolina
168jxub,sandiegostate,idahostate
168z6sg,rutgers,northwestern
1693ll6,jacksonstate,floridaam
1694dym,sanjosestate,oregonstate
169aftq,lsu,floridastate
16a716p,duke,clemson
16bp1ey,kansas,illinois
16bptu8,iowastate,iowa
16cspbp,louisville,murraystate
16dnn4k,indiana,indianastate
16dnn61,rhodeisland,stonybrook
16dnn7i,davidson,barton-sheet2-row16-col01
16doerv,kansas,illinois
16e6huq,wakeforest,vanderbilt
16e7uty,georgia,ballstate
16e7uv7,ohiostate,youngstownstate
16e7uwk,ncstate,notredame
16e7uxq,baylor,utah
16e7uzb,kansasstate,troy
16e7v0n,army,delawarestate
16e7v1g,colorado,nebraska
16e7v2e,virginiatech,purdue
16e7v3x,bostoncollege,holycross
16e7v55,virginia,jamesmadison
16e7v7f,pennstate,delaware
16e83mx,ccsu,stonehill
16e8l4k,georgetown,sacredheart
16e9azp,georgiatech,southcarolinastate
16e9b0x,dayton,centralstate-sheet2-row15-col04
16e9b2a,presbyterian,virginialynchburg-sheet4-row31-col19
16e9b3n,butler,taylor-sheet4-row08-col14
16ea16q,centralmichigan,newhampshire
16ear8x,bowlinggreen,easternillinois
16eara6,southdakota,stthomasmn
16eb4h6,clemson,charlestonsouthern
16ebhj3,westerncarolina,samford
16ebqc2,georgiatech,southcarolinastate
16ec7rw,kentucky,easternkentucky
16ec7tr,byu,southernutah
16ec7v4,citadel,campbell
16ec7wg,bucknell,vmi
16ecyqt,tulane,olemiss
16ecys3,miami,texasam
16ecyt5,iowastate,iowa
16ecyu5,michiganstate,richmond
16ecyve,northwestern,utep
16ecyww,syracuse,westernmichigan
16ecyxx,umass,miamioh
16ecyzj,utsa,texasstate
16ecz13,navy,wagner
16ecz2g,northernillinois,southernillinois
16ecz3h,toledo,texassouthern
16ecz4t,northdakotastate,maine
16ecz62,michigan,unlv
16edpbx,arkansas,kentstate
16edpdf,ecu,marshall
16edpen,sanjosestate,calpoly
16edpfk,wyoming,portlandstate
16edph2,bethunecookman,savannahstate-sheet2-row15-col12
